1. Giới tính của bạn:,2. Bạn đang ở độ tuổi nào?,3. Nghề nghiệp hiện tại:,4. Thu nhập cá nhân hàng tháng (triệu VNĐ),5. Thời gian trung bình bạn sử dụng mạng xã hội TikTok :,6. Bạn đã mua hàng trên nền tảng TikTok Shop ?,7. Tần suất mua hàng trực tuyến:,8. Trung bình tiêu dùng hàng tháng trên Tiktok Shop:,9. Những lý do nào thúc đẩy bạn lựa chọn mua sắm trên TikTok Shop?(Có thể chọn nhiều phương án),1.Sự lan truyền nội dung Tôi thường bị thu hút bởi những sản phẩm xuất hiện nhiều lần trong các video TikTok.,1.Sự lan truyền nội dung Các video review sản phẩm lan truyền trên TikTok ảnh hưởng đến quyết định mua hàng của tôi.,1.Sự lan truyền nội dung Nội dung sản phẩm lan truyền nhanh khiến tôi cảm thấy tin tưởng hơn và muốn mua ngay.,1.Sự lan truyền nội dung Tôi tin rằng những sản phẩm được nhiều người dùng TikTok giới thiệu thường có chất lượng tốt hơn,1.Sự lan truyền nội dung Nội dung thịnh hành trên TikTok Shop kích thích tôi mua sản phẩm.,2.Thái độ xã hội/ tâm lý đám đông Tôi có xu hướng tin tưởng sản phẩm khi thấy nhiều người dùng TikTok đánh giá tích cực.,2.Thái độ xã hội/ tâm lý đám đông Tôi cảm thấy bị “tụt hậu” nếu không sở hữu sản phẩm đang hot trên TikTok.,2.Thái độ xã hội/ tâm lý đám đông Tôi từng mua hàng trên TikTok Shop chỉ vì thấy nhiều người đang mua cùng sản phẩm đó.,2.Thái độ xã hội/ tâm lý đám đông Tôi mua hàng trên TikTok Shop do có người thân  bạn bè  gia đình thường xuyên mua hàng tại đây.,2.Thái độ xã hội/ tâm lý đám đông Tôi dễ bị ảnh hưởng bởi hành vi tiêu dùng của người khác trên TikTok hơn so với các nền tảng khác.,3.Trào lưu tiêu dùng tức thời Tôi thường mua sản phẩm trên TikTok Shop ngay sau khi xem một video hấp dẫn.,3.Trào lưu tiêu dùng tức thời Tôi có xu hướng mua hàng theo cảm hứng mà không suy nghĩ quá nhiều khi thấy sản phẩm đang “hot” trên TikTok.,3.Trào lưu tiêu dùng tức thời Tôi từng mua sản phẩm chỉ vì nó đang là xu hướng trên TikTok  dù không thực sự cần thiết.,3.Trào lưu tiêu dùng tức thời Tôi thường quyết định mua hàng rất nhanh khi thấy sản phẩm được nhiều người yêu thích trên TikTok.,3.Trào lưu tiêu dùng tức thời Sau khi xem một video review sản phẩm viral  tôi thường có hành động tìm mua ngay.,4.Tiện ích mua hàng Tôi thấy việc mua hàng trực tiếp trên TikTok Shop nhanh chóng và dễ dàng.,4.Tiện ích mua hàng TikTok Shop giúp tôi tiết kiệm thời gian khi tìm kiếm và chọn mua sản phẩm.,4.Tiện ích mua hàng Tôi cảm thấy việc thanh toán và giao hàng qua TikTok Shop khá thuận tiện.,4.Tiện ích mua hàng Tôi thích trải nghiệm mua sắm tích hợp giải trí và mua hàng trên TikTok và TikTok Shop.,4.Tiện ích mua hàng Việc mua hàng trên TikTok Shop khiến tôi cảm thấy thoải mái và tiện lợi hơn so với nhiều nền tảng khác.,5.Âm thanh  hình ảnh hấp dẫn Tôi thường bị thu hút bởi các video TikTok Shop có hình ảnh sản phẩm rõ nét và bắt mắt.,5.Âm thanh  hình ảnh hấp dẫn Tôi cảm thấy dễ bị thuyết phục hơn khi video quảng bá sản phẩm được đầu tư hình ảnh và âm thanh chuyên nghiệp.,5.Âm thanh  hình ảnh hấp dẫn Âm thanh sôi động hoặc bài nhạc trend trong video TikTok khiến tôi cảm thấy thích thú và muốn khám phá sản phẩm.,5.Âm thanh  hình ảnh hấp dẫn Video có góc quay  ánh sáng và kỹ thuật dựng tốt khiến tôi đánh giá cao thương hiệu hoặc sản phẩm.,5.Âm thanh  hình ảnh hấp dẫn Tôi từng mua sản phẩm chỉ vì bị ấn tượng bởi cách trình bày hình ảnh và âm thanh trong video TikTok Shop.,6.Quyết định mua hàng trên Tiktok Shop Tôi thường xem lại nhiều lần video sản phẩm trước khi quyết định mua hàng.,6.Quyết định mua hàng trên Tiktok Shop Tôi dễ bị thuyết phục mua hàng khi thấy sản phẩm đang được giảm giá trong thời gian ngắn trên TikTok Shop.,6.Quyết định mua hàng trên Tiktok Shop Tôi có thói quen lưu lại sản phẩm yêu thích trên TikTok Shop trước khi quyết định mua.,6.Quyết định mua hàng trên Tiktok Shop Sự tin tưởng với nhà bán hàng trên TikTok Shop là yếu tố chính thúc đẩy quyết định của tôi,6.Quyết định mua hàng trên Tiktok Shop Tôi ưu tiên nhà bán hàng có chính sách đổi trả rõ ràng khi mua trên TikTok Shop.
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,Trên 2 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",2,2,2,2,2,1,1,2,2,1,3,3,3,4,3,5,5,5,5,5,2,3,3,3,3,3,4,3,4,3
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Trên 8 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,Trên 2 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút",1,1,1,1,1,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,4,3,3,5,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,Dưới 1 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,Dưới 500.000,"Nội dung video hấp dẫn, thu hút//Giao diện thân thiện, dễ sử dụng//Sản phẩm đa dạng, dễ tìm kiếm//Giao hàng tận nơi tiện lợi//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giá cả phù hợp với túi tiền",4,3,4,3,3,5,5,5,5,5,3,3,2,4,4,2,2,2,2,1,4,3,3,3,4,4,4,4,4,4
Nam,Từ 22-26 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,Dưới 1 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Sản phẩm đa dạng, dễ tìm kiếm//Nội dung video hấp dẫn, thu hút//Giao hàng tận nơi tiện lợi",3,3,2,3,2,1,1,1,1,1,5,4,5,4,5,1,1,1,1,1,3,3,2,2,3,1,1,1,1,1
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,6-8 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,500.000 – 1 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Nội dung video hấp dẫn, thu hút",4,4,4,4,3,4,4,4,4,4,3,2,2,2,2,5,5,5,5,5,2,2,2,2,2,5,5,5,5,5
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,6-8 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,1 triệu – 2 triệu,Giao hàng tận nơi tiện lợi//Giá cả phù hợp với túi tiền,5,5,5,5,5,4,5,5,4,4,1,2,1,2,1,4,4,4,4,5,1,1,1,1,1,2,2,2,2,2
Nữ,Từ 22-26 tuổi,Nhân viên văn phòng,Từ 5-10 triệu,Dưới 1 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Nội dung video hấp dẫn, thu hút//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Giao diện thân thiện, dễ sử dụng//Sản phẩm đa dạng, dễ tìm kiếm//Giá cả phù hợp với túi tiền",1,1,1,1,1,3,3,2,2,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,4-5 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,1 triệu – 2 triệu,"Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng",5,5,5,5,5,4,4,4,4,4,2,2,1,2,3,1,2,1,2,1,3,3,2,4,4,5,5,4,4,4
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,4-5 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,1 triệu – 2 triệu,"Giao hàng tận nơi tiện lợi//Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng//Nội dung video hấp dẫn, thu hút//Giá cả phù hợp với túi tiền//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",5,5,5,5,5,5,5,5,4,5,2,2,2,2,2,1,2,2,2,2,5,5,5,5,5,5,5,5,5,5
Nam,Dưới 18 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Trên 8 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút",1,1,2,2,2,4,4,3,3,3,3,2,2,3,3,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,6-8 tiếng/ 1 ngày,Không,Trên 10/ 1 tháng,Trên 2 triệu,"Giá cả phù hợp với túi tiền//Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút",3,3,2,3,3,3,3,3,2,2,5,5,5,5,5,4,4,4,4,4,2,2,2,2,2,5,5,5,4,5
Nam,Từ 22-26 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,2-3 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Nội dung video hấp dẫn, thu hút//Giao hàng tận nơi tiện lợi//Sản phẩm đa dạng, dễ tìm kiếm//Giá cả phù hợp với túi tiền",2,3,2,2,2,4,4,4,4,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,4-5 tiếng/ 1 ngày,Không,5-10 lần/ 1 tháng,Dưới 500.000,"Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút//Giá cả phù hợp với túi tiền",3,3,2,3,3,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,5,5,4,4,5,1,2,1,2,2
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,500.000 – 1 triệu,Giá cả phù hợp với túi tiền,3,2,3,3,3,1,1,1,1,1,2,1,2,1,2,4,5,4,4,4,4,4,4,4,4,3,3,3,3,3
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,2-3 tiếng/ 1 ngày,Không,Dưới 5 lần/ 1 tháng,500.000 – 1 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Nội dung video hấp dẫn, thu hút//Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng//Giao hàng tận nơi tiện lợi",5,5,5,5,5,4,4,4,4,5,2,3,3,3,3,4,4,4,3,3,4,4,4,3,4,4,5,4,4,4
Nam,Từ 22-26 tuổi,Nhân viên văn phòng,Từ 5-10 triệu,4-5 tiếng/ 1 ngày,Không,5-10 lần/ 1 tháng,Dưới 500.000,"Giá cả phù hợp với túi tiền//Giao diện thân thiện, dễ sử dụng//Sản phẩm đa dạng, dễ tìm kiếm",3,3,3,3,3,1,1,1,1,1,5,4,5,4,5,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,Trên 2 triệu,"Nội dung video hấp dẫn, thu hút//Giao diện thân thiện, dễ sử dụng//Sản phẩm đa dạng, dễ tìm kiếm//Giá cả phù hợp với túi tiền//Giao hàng tận nơi tiện lợi",4,4,5,4,4,5,5,5,4,4,3,3,3,3,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,5
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Trên 8 tiếng/ 1 ngày,Không,5-10 lần/ 1 tháng,Trên 2 triệu,"Giao hàng tận nơi tiện lợi//Giá cả phù hợp với túi tiền//Giao diện thân thiện, dễ sử dụng//Nội dung video hấp dẫn, thu hút//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",2,1,1,1,2,3,3,3,3,3,2,2,2,2,2,2,1,2,2,1,5,5,5,5,5,5,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,2-3 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,Dưới 500.000,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Sản phẩm đa dạng, dễ tìm kiếm",2,2,3,2,2,4,3,4,3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Nam,Từ 22-26 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,Dưới 1 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Sản phẩm đa dạng, dễ tìm kiếm//Giao hàng tận nơi tiện lợi",5,5,5,5,5,2,2,2,3,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,4,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Không,Trên 10/ 1 tháng,Dưới 500.000,"Giao hàng tận nơi tiện lợi//Giao diện thân thiện, dễ sử dụng",5,5,5,5,5,3,4,3,3,4,1,1,2,1,2,2,1,1,1,2,4,4,4,4,4,4,4,5,5,4
Nam,Dưới 18 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,1 triệu – 2 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",2,2,3,2,2,3,3,2,2,2,5,5,4,5,4,3,4,4,3,4,4,4,3,4,4,5,4,4,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,Dưới 1 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,1 triệu – 2 triệu,"Giao diện thân thiện, dễ sử dụng//Nội dung video hấp dẫn, thu hút//Sản phẩm đa dạng, dễ tìm kiếm",2,2,1,2,2,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,1,1,1,2,1,3,3,2,3,3
Nam,Từ 22-26 tuổi,Nhân viên văn phòng,Từ 5-10 triệu,4-5 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,Giá cả phù hợp với túi tiền,1,1,1,1,1,4,4,4,4,4,2,2,2,2,1,2,1,2,2,2,5,5,5,5,5,3,3,3,3,3
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,6-8 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Sản phẩm đa dạng, dễ tìm kiếm//Giá cả phù hợp với túi tiền//Giao diện thân thiện, dễ sử dụng//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút",5,5,5,5,5,4,4,4,4,4,1,1,1,1,1,1,1,1,1,1,5,5,5,4,5,3,3,3,4,3
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Trên 8 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Sản phẩm đa dạng, dễ tìm kiếm",3,3,2,2,3,4,4,3,3,4,4,3,3,3,4,5,5,5,5,5,4,3,4,3,3,4,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Dưới 1 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,"Giá cả phù hợp với túi tiền//Giao hàng tận nơi tiện lợi//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Nội dung video hấp dẫn, thu hút",2,3,2,3,2,3,4,3,4,3,1,2,2,2,2,3,3,4,4,3,2,3,2,2,2,1,1,1,1,1
Nam,Từ 22-26 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,4-5 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,"Nội dung video hấp dẫn, thu hút//Giao hàng tận nơi tiện lợi//Giá cả phù hợp với túi tiền//Sản phẩm đa dạng, dễ tìm kiếm//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao diện thân thiện, dễ sử dụng",4,4,5,4,5,2,2,2,2,2,4,4,4,4,4,5,5,5,5,5,3,4,4,4,3,5,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,Dưới 1 tiếng/ 1 ngày,Không,Trên 10/ 1 tháng,Trên 2 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giá cả phù hợp với túi tiền",5,5,5,5,5,5,4,5,4,4,2,3,3,3,3,5,4,4,5,4,5,5,4,5,5,5,5,5,5,5
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Trên 8 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,1 triệu – 2 triệu,"Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút//Sản phẩm đa dạng, dễ tìm kiếm//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",4,3,3,4,4,2,3,2,2,2,5,5,5,5,5,3,3,4,3,4,4,4,4,4,4,5,5,5,5,5
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,6-8 tiếng/ 1 ngày,Có,5-10 lần/ 1 tháng,500.000 – 1 triệu,"Giao diện thân thiện, dễ sử dụng",1,1,1,1,1,4,4,4,4,4,2,2,2,3,2,2,2,2,2,2,5,5,5,5,5,2,2,2,2,1
Nam,Từ 22-26 tuổi,Nhân viên văn phòng,Từ 5-10 triệu,6-8 tiếng/ 1 ngày,Không,Trên 10/ 1 tháng,Dưới 500.000,"Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút//Giá cả phù hợp với túi tiền//Sản phẩm đa dạng, dễ tìm kiếm//Giao diện thân thiện, dễ sử dụng//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",3,4,3,3,3,4,4,4,4,4,3,3,3,3,4,3,3,3,4,3,4,4,4,4,4,4,4,3,4,4
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,500.000 – 1 triệu,"Giao hàng tận nơi tiện lợi//Sản phẩm đa dạng, dễ tìm kiếm",4,4,4,3,4,1,1,1,1,1,1,2,1,2,2,3,3,3,3,3,4,4,4,4,4,2,2,3,2,2
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,Dưới 1 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,500.000 – 1 triệu,"Giao diện thân thiện, dễ sử dụng//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Nội dung video hấp dẫn, thu hút//Giá cả phù hợp với túi tiền//Giao hàng tận nơi tiện lợi",2,2,2,2,2,1,1,1,1,1,2,1,2,1,1,2,2,2,2,2,5,5,5,4,5,1,1,1,1,1
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,4-5 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,Dưới 500.000,"Giao diện thân thiện, dễ sử dụng//Nội dung video hấp dẫn, thu hút//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao hàng tận nơi tiện lợi//Giá cả phù hợp với túi tiền",5,4,5,4,5,3,2,2,2,2,1,1,2,1,1,1,1,1,1,1,2,2,3,2,3,1,1,1,1,1
Nam,Từ 22-26 tuổi,Học sinh/ Sinh viên,Từ 3-5 triệu,6-8 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,1 triệu – 2 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao diện thân thiện, dễ sử dụng//Giao hàng tận nơi tiện lợi//Nội dung video hấp dẫn, thu hút",4,4,4,5,4,2,2,1,2,1,3,3,3,3,3,3,4,4,3,4,3,3,2,2,2,3,2,2,2,2
Nữ,Dưới 18 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,4-5 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,500.000 – 1 triệu,"Có nhiều chương trình giảm giá, ưu đãi hấp dẫn//Giao diện thân thiện, dễ sử dụng",2,2,1,2,1,2,1,1,1,2,1,1,1,1,1,5,5,5,5,5,4,5,4,4,4,3,4,3,3,3
Nam,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,Trên 10/ 1 tháng,1 triệu – 2 triệu,"Nội dung video hấp dẫn, thu hút//Giá cả phù hợp với túi tiền//Giao hàng tận nơi tiện lợi",4,4,3,3,3,5,5,5,5,5,5,4,4,5,4,1,1,1,1,1,3,3,3,2,3,4,4,4,4,4
Nữ,Từ 18-22 tuổi,Học sinh/ Sinh viên,Dưới 1 triệu,2-3 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,500.000 – 1 triệu,"Sản phẩm đa dạng, dễ tìm kiếm//Giao hàng tận nơi tiện lợi//Giá cả phù hợp với túi tiền",3,2,3,3,3,3,3,3,3,2,5,5,5,5,5,4,5,5,5,4,3,2,3,4,3,5,4,4,4,4
Nam,Từ 22-26 tuổi,Nhân viên văn phòng,Từ 5-10 triệu,4-5 tiếng/ 1 ngày,Có,Dưới 5 lần/ 1 tháng,Dưới 500.000,"Sản phẩm đa dạng, dễ tìm kiếm//Giao hàng tận nơi tiện lợi//Có nhiều chương trình giảm giá, ưu đãi hấp dẫn",2,2,2,3,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,3,3,3,2,2,5,5,5,5,5
